code,name,quantity,purchase_price,purchase_date,sector,status,current_price,profit_loss,profit_loss_percent,last_updated
7974.T,任天堂,30,8000.0,2025-06-01,ゲーム,購入予定,13110.0,153300.0,+63.88%,2025-09-02
8035.T,東京エレクトロン,5,203500.0,2025-06-01,電子,保有中,20335.0,-1831650.0,-90.01%,2025-09-02
9697.T,CAPCOM CO LTD,10,4034.0,2025-09-02,ゲーム,購入予定,4054.0,200.0,+0.50%,2025-09-02
9434.T,SOFTBANK CORP.,5,227.8000030517578,2025-09-03,通信,保有中,,,,
7803.T,BUSHIROAD INC,1,660.0,2025-09-03,エンターテイメント,保有中,,,,
2579.T,COCA-COLA BOTTLERS JAPAN HLDGS ,10,2660.5,2025-09-03,飲食,購入予定,,,,
3778.T,SAKURA INTERNET INC,10,2931.0,2025-09-03,,購入予定,,,,
9202.T,ANA HOLDINGS INC,10,2979.0,2025-09-04,,購入予定,,,,
3543.T,KOMEDA HOLDINGS CO LTD,10,3035.0,2025-09-04,,購入予定,,,,
2730.T,EDION CORP,10,2057.0,2025-09-04,,購入予定,,,,
9347.T,NIPPON KANZAI HOLDINGS CO LTD,10,2782.0,2025-09-04,,購入予定,,,,
3003.T,HULIC CO LTD,10,1565.5,2025-09-04,,購入予定,,,,
