code,name,quantity,purchase_price,purchase_date,sector,status,current_price,profit_loss,profit_loss_percent,last_updated
7974.T,任天堂,30,8000.0,2025-06-01,ゲーム,監視中,12835.0,145050.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
8035.T,東京エレクトロン,5,203500.0,2025-06-01,電子,監視中,25750.0,-888750.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
9697.T,CAPCOM CO LTD,10,4034.0,2025-09-02,ゲーム,監視中,4114.0,800.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
9434.T,SOFTBANK CORP.,5,227.8000030517578,2025-09-03,通信,保有中,229.4,8.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
7803.T,BUSHIROAD INC,1,660.0,2025-09-03,エンターテイメント,保有中,675.0,15.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
2579.T,COCA-COLA BOTTLERS JAPAN HLDGS ,10,2660.5,2025-09-03,飲食,監視中,2668.0,75.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
3778.T,SAKURA INTERNET INC,10,3390.5,2025-09-03,,保有中,3850.0,4595.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
9202.T,ANA HOLDINGS INC,10,2979.0,2025-09-04,,監視中,2933.0,-460.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
3543.T,KOMEDA HOLDINGS CO LTD,10,3035.0,2025-09-04,,監視中,3140.0,1050.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
2730.T,EDION CORP,10,2057.0,2025-09-04,,監視中,2209.0,1520.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
9347.T,NIPPON KANZAI HOLDINGS CO LTD,10,2782.0,2025-09-04,,監視中,2822.0,400.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
3003.T,HULIC CO LTD,10,1565.5,2025-09-04,,監視中,1655.0,895.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
2693.T,YKT CORPORATION,10,253.0,2025-09-16,,保有中,254.0,10.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
3778.T,SAKURA INTERNET INC,1,3855.0,2025-09-19,,監視中,3850.0,-5.0,{((cur-pp)/pp*100):+.2f}%,2025-09-19
