code,name,quantity,purchase_price,purchase_date,status,current_price,profit_loss,profit_loss_percent,last_updated,purpose
9434.T,SOFTBANK CORP.,5,227.8000030517578,2025-09-03,HOLDING,211.2,-83.0,-7.29%,2026/04/11 16:48:29,present
7803.T,BUSHIROAD INC,1,660.0,2025-09-03,HOLDING,259.0,-401.0,-60.76%,2026/04/11 16:48:29,present
7203.T,TOYOTA MOTOR CORP,1,2805.0,2025-10-02,WATCHING,3319.0,514.0,+18.32%,2026/04/11 16:48:29,long
6503.T,MITSUBISHI ELECTRIC CORP,1,3694.0,2025-10-02,WATCHING,5813.0,2119.0,+57.36%,2026/04/11 16:48:29,long
9432.T,NTT INC,1,152.89999389648438,2025-10-02,EXCLUDED,153.1,0.2,+0.13%,2026/04/11 16:48:29,long
9312.T,KEIHIN CO LTD,1,2507.0,2025-10-02,WATCHING,3100.0,593.0,+23.65%,2026/04/11 16:48:29,long
5020.T,ENEOS HOLDINGS INC,1,924.5,2025-10-02,SELL_PLANNED_LOSS,1425.5,501.0,+54.19%,2026/04/11 16:48:29,middle
9193.T,TOKYO KISEN CO LTD,1,960.0,2025-10-02,SELL_PLANNED_PROFIT,1093.0,133.0,+13.85%,2026/04/11 16:48:29,middle
5253.T,COVER CORPORATION,1,1763.0,2025-10-02,NEXT_BUY,1425.0,-338.0,-19.17%,2026/04/11 16:48:29,swing
9104.T,MITSUI O.S.K. LINES LTD,1,4406.0,2025-10-02,NEXT_BUY,6473.0,2067.0,+46.91%,2026/04/11 16:48:29,swing
