開始日,終了日,始値,終値,価格変化率(%),最高値,最安値,出来高平均,ボラティリティ,データポイント数,コード,銘柄名
2025-04-01,2025-05-31,10300.0,11835.0,14.9,12540.0,8962.0,6434365,0.0305,41,7974.T,任天堂
2025-04-01,2025-05-31,20190.0,23000.0,13.92,24560.0,16560.0,4004834,0.0282,41,8035.T,東京エレクトロン
2025-04-01,2025-05-31,3699.0,4300.0,16.25,4434.0,3292.0,1956524,0.0247,41,9697.T,CAPCOM CO LTD
2025-04-01,2025-05-31,211.7,221.4,4.58,230.9,192.5,68905182,0.0125,41,9434.T,SOFTBANK CORP.
2025-04-01,2025-05-31,575.48,706.68,22.8,717.61,438.32,814456,0.046,41,7803.T,BUSHIROAD INC
2025-04-01,2025-05-31,2411.88,2353.59,-2.42,2711.76,2179.69,789136,0.0276,41,2579.T,COCA-COLA BOTTLERS JAPAN HLDGS 
2025-04-01,2025-05-31,3705.0,3480.0,-6.07,3980.0,2731.0,1377953,0.0421,41,3778.T,SAKURA INTERNET INC
2025-04-01,2025-05-31,2783.0,2857.0,2.66,2915.0,2509.5,1860070,0.0125,41,9202.T,ANA HOLDINGS INC
2025-04-01,2025-05-31,2848.52,2804.94,-1.53,2939.64,2619.73,179780,0.0119,41,3543.T,KOMEDA HOLDINGS CO LTD
2025-04-01,2025-05-31,1899.0,1905.0,0.32,1973.0,1690.0,334612,0.0128,41,2730.T,EDION CORP
2025-04-01,2025-05-31,2685.0,2730.0,1.68,2813.0,2440.0,35243,0.0105,41,9347.T,NIPPON KANZAI HOLDINGS CO LTD
2025-04-01,2025-05-31,1428.59,1433.49,0.34,1528.6,1295.73,2242090,0.0123,41,3003.T,HULIC CO LTD
